name,type,address,region,sido,sigungu,lat,lng,precision,opened,note,source_url,matched
양지3센터,풀필먼트센터,경기 용인시 처인구 양지읍 양지리 90-7,경기남부,경기도,용인시처인구,37.238601,127.296913,,,"소규모 센터, 공정 구분 없는 Hybrid(입+출고) 공정",,경기 용인시 처인구 양지읍 양지리 90-7
양지4센터,풀필먼트센터,경기 용인시 처인구 양지읍 양지리 920,경기남부,경기도,용인시처인구,37.228158,127.295867,,,신선 센터,,경기 용인시 처인구 양지읍 양지리 920
양지7센터,풀필먼트센터,경기 용인시 처인구 양지읍 양지리 920,경기남부,경기도,용인시처인구,37.228158,127.295867,,,,,경기 용인시 처인구 양지읍 양지리 920
여주1센터,풀필먼트센터,경기도 여주시 점봉동 204-3,경기남부,경기도,여주시,37.249395,127.640064,,,,,경기 여주시 점봉동 204-3
여주2센터,풀필먼트센터,경기도 여주시 점봉동 204-3,경기남부,경기도,여주시,37.249395,127.640064,,,,,경기 여주시 점봉동 204-3
용인1센터,풀필먼트센터,"경기 용인시 처인구 백암면 백봉리 488, 2층",경기남부,경기도,용인시처인구,37.139514,127.389291,,,,,경기 용인시 처인구 백암면 백봉리 488
용인3센터,풀필먼트센터,경기도 용인시 처인구 남사면 처인성로 1027 1층,경기남부,경기도,용인시처인구,37.176625,127.179654,,,신선 센터,,경기 용인시 처인구 남사읍 처인성로 1027
용인5센터,풀필먼트센터,경기도 용인시 처인구 남사면 처인성로 1027 1층,경기남부,경기도,용인시처인구,37.176625,127.179654,,,신선 센터,,경기 용인시 처인구 남사읍 처인성로 1027
이천1센터,풀필먼트센터,경기도 이천시 부발읍 중부대로 1763번길 80-7,경기남부,경기도,이천시,37.292599,127.498754,,,그란데 센터,,경기 이천시 부발읍 중부대로1763번길 80-7
이천2센터,풀필먼트센터,경기도 이천시 마장면 이장로 329-38,경기남부,경기도,이천시,37.283039,127.389601,,,,,
이천3센터,풀필먼트센터,경기도 이천시 대월면 대대리 861,경기남부,경기도,이천시,37.219435,127.469346,,,소화물 센터(평균 500g),,
이천4센터,풀필먼트센터,경기 이천시 부발읍 송온리 442,경기남부,경기도,이천시,37.253505,127.517742,,,소화물 센터,,경기 이천시 부발읍 송온리 442
호법1센터,풀필먼트센터,경기도 이천시 호법면덕평로 257-21,경기남부,경기도,이천시,37.189621,127.375050,,,,,경기 이천시 호법면 덕평로 257-21
성남2센터,풀필먼트센터,"경기 성남시 분당구 야탑동 403, B2F",경기남부,경기도,성남시분당구,37.414881,127.118733,,,신선 센터,,경기 성남시 분당구 야탑동 403
인천4센터,풀필먼트센터,인천 검단구 오류동 1545-2,인천·경기북부,인천광역시,검단구,37.566012,126.606749,,,"경량물, 상온",,인천 검단구 오류동 1545-2
인천5센터,풀필먼트센터,인천광역시 서구 오류동 1544-2번지,인천·경기북부,인천광역시,검단구,37.566009,126.601284,,,상온,,인천 검단구 오류동 1544-2
인천13센터,풀필먼트센터,인천 서해구 원창동 391-21,인천·경기북부,인천광역시,서해구,37.509796,126.631165,,,상온,,인천 서해구 원창동 391-21
인천14센터,풀필먼트센터,인천광역시 중구 축항대로 165번길 20 (인천광역시 중구 항동7가 31-4번지),인천·경기북부,인천광역시,제물포구,37.454031,126.617034,,,"경량물, 상온",,인천 제물포구 축항대로165번길 20
인천16센터,풀필먼트센터,인천광역시 중구 항동7가 104-1,인천·경기북부,인천광역시,제물포구,37.440018,126.616874,,,상온,,인천 제물포구 항동7가 104-1
인천26센터,풀필먼트센터,인천 서구 원창동 391-9,인천·경기북부,인천광역시,서해구,37.512429,126.629789,,,상온,,인천 서해구 원창동 391-9
인천28센터,풀필먼트센터,인천 서구 원창동 391-9,인천·경기북부,인천광역시,서해구,37.512429,126.629789,,,상온,,인천 서해구 원창동 391-9
인천30센터,풀필먼트센터,인천광역시 서구 석남동 223-41,인천·경기북부,인천광역시,서해구,37.504652,126.662989,,,"경량물, 상온",,인천 서해구 석남동 223-41
인천36센터,풀필먼트센터,인천 서구 원창동 391-9,인천·경기북부,인천광역시,서해구,37.512429,126.629789,,,"경량물, 상온",,인천 서해구 원창동 391-9
인천45센터,풀필먼트센터,인천광역시 미추홀구 염전로143번길 45,인천·경기북부,인천광역시,서해구,37.481292,126.659120,,,상온,,인천 미추홀구 염전로143번길 45
인천47센터,풀필먼트센터,"인천 제물포구 신흥동3가 49(4, 5층)",인천·경기북부,인천광역시,제물포구,37.445294,126.624049,,,상온,,인천 제물포구 신흥동3가 49
인천49센터,풀필먼트센터,,인천·경기북부,,,,,실패,,원본에 주소 정보 없음,,
고양1센터,풀필먼트센터,경기도 고양시 덕양구 원흥동 701,인천·경기북부,경기도,고양시덕양구,37.640347,126.873818,,,상온,,경기 고양시 덕양구 원흥동 701
고양3센터,풀필먼트센터,경기도 고양시 덕양구 원흥동 701 (1F),인천·경기북부,경기도,고양시덕양구,37.640347,126.873818,,,반품(AR) 센터,,경기 고양시 덕양구 원흥동 701
부천1센터,풀필먼트센터,경기도 부천시 오정구 신흥로 511번길80,인천·경기북부,경기도,부천시오정구,37.529800,126.775647,,,상온,,경기 부천시 오정구 신흥로511번길 80
TW1,풀필먼트센터,"인천 서해구 원창동 394-9, (10, 11층)",인천·경기북부,인천광역시,서해구,37.501294,126.614096,,,대만역직구센터,,인천 서해구 원창동 394-9
시흥2센터,풀필먼트센터,경기도 시흥시 정왕동 2123-3 (3-7층),인천·경기북부,경기도,시흥시,37.332222,126.746880,,,상온,,경기 시흥시 정왕동 2123-3
시흥3센터,풀필먼트센터,경기도 시흥시 정왕동 2123-3 (9층),인천·경기북부,경기도,시흥시,37.332222,126.746880,,,상온,,경기 시흥시 정왕동 2123-3
안산2센터,풀필먼트센터,"경기 안산시 단원구 성곡동 796 (1,2층)",인천·경기북부,경기도,안산시단원구,37.297187,126.757731,,,상온,,경기 안산시 단원구 성곡동 796
안산3센터,풀필먼트센터,"경기 안산시 단원구 성곡동 796 (3,4층)",인천·경기북부,경기도,안산시단원구,37.297187,126.757731,,,상온,,경기 안산시 단원구 성곡동 796
인천11센터,풀필먼트센터,인천 제물포구 항동7가 95-3,인천·경기북부,인천광역시,제물포구,37.450692,126.615399,,,신선 센터,,인천 제물포구 항동7가 95-3
인천12센터,풀필먼트센터,인천 서해구 경서동 1079-2,인천·경기북부,인천광역시,서해구,37.557167,126.618955,,,신선 센터,,인천 서해구 경서동 1079-2
인천15센터,풀필먼트센터,인천 제물포구 항동7가 95-3,인천·경기북부,인천광역시,제물포구,37.450692,126.615399,,,신선 센터,,인천 제물포구 항동7가 95-3
인천17센터,풀필먼트센터,인천광역시 중구 항동7가 104-1,인천·경기북부,인천광역시,제물포구,37.440018,126.616874,,,신선 센터,,인천 제물포구 항동7가 104-1
